Variables,Coefficients,P_value
Intercept,-13.96987037,1.33E-13
Wind,0.432214081,2.12E-11
Rainfall,13.41656109,0.039914014
Direction,0.014079715,0.002776643
Spring,0.537585929,0.311600559
Summer,2.641338326,1.21E-05
Autumn,0.99103278,0.024437959
