Variables,Coefficients,P_value
Intercept,-13.61255186,1.02E-17
Wind,0.396455992,3.12E-14
Rainfall,15.07136647,0.000675723
Direction,0.008647382,0.038616343
Spring,0.472287182,0.331154326
Summer,1.975340473,0.000159086
Autumn,0.414790892,0.28206743
