Variables,Coefficients,P_value
Intercept,-12.13603397,9.60E-16
Wind,0.375181316,8.47E-14
Rainfall,3.675827035,0.252153652
Direction,0.005024253,0.27642844
Spring,0.535575841,0.295101243
Summer,2.698068722,1.90E-07
Autumn,0.403669679,0.284345858
