date,wind,cyclone_id,cyclone_number,year
2005-03-23,9.4194527815032,2005_36.0,117,2005
2005-03-24,11.994908422541371,2005_36.0,117,2005
2005-03-25,7.63968003936186,2005_36.0,117,2005
2005-03-26,0.0,2005_nan,117,2005
2005-03-27,0.0,2005_nan,117,2005
2005-03-28,0.0,2005_nan,117,2005
2005-03-29,10.522979169825238,2005_37.0,117,2005
2005-03-30,12.167334420716692,2005_37.0,117,2005
2005-03-31,10.370739629972883,2005_37.0,117,2005
2005-04-01,7.55809310363988,2005_38.0,117,2005
2005-04-02,0.0,2005_nan,117,2005
2005-04-03,0.0,2005_nan,117,2005
2005-04-04,12.559288153154244,2005_39.0,117,2005
2005-04-05,12.101728431167055,2005_39.0,117,2005
2005-04-06,21.115823174800667,2005_40.0,117,2005
2005-04-07,18.511770051138292,2005_40.0,117,2005
2005-04-08,21.2243253882866,2005_40.0,117,2005
2005-04-09,17.492353905828605,2005_40.0,117,2005
2005-04-10,0.0,2005_nan,117,2005
2005-04-11,0.0,2005_nan,117,2005
2005-04-12,0.0,2005_nan,117,2005
2005-04-13,7.516879084563829,2005_44.0,117,2005
2005-04-14,7.976962113841388,2005_44.0,117,2005
2005-04-15,14.786527388121288,2005_44.0,117,2005
2005-04-16,10.008224482589654,2005_44.0,117,2005
2005-04-17,12.771245965545369,2005_43.0,117,2005
2005-04-18,14.560270834418064,2005_41.0,117,2005
2005-04-19,14.593073829192882,2005_41.0,117,2005
2005-04-20,13.100958118153782,2005_49.0,117,2005
2005-04-21,9.220111505563928,2005_49.0,117,2005
2005-04-22,0.0,2005_nan,117,2005
2005-04-23,14.43410546989954,2005_46.0,117,2005
2005-04-24,11.447350740530972,2005_46.0,117,2005
2005-04-25,13.658609029325667,2005_53.0,117,2005
2005-04-26,11.200066626074658,2005_47.0,117,2005
2005-04-27,13.568611069302452,2005_52.0,117,2005
2005-04-28,18.819613540563495,2005_50.0,117,2005
2005-04-29,11.151282685127498,2005_50.0,117,2005
2005-04-30,0.0,2005_nan,117,2005
2005-05-01,0.0,2005_nan,117,2005
2005-05-02,0.0,2005_nan,117,2005
2005-05-03,11.42632317977788,2005_51.0,117,2005
2005-05-04,16.969188194291785,2005_51.0,117,2005
2005-05-05,0.0,2005_nan,117,2005
2005-05-06,0.0,2005_nan,117,2005
2005-05-07,19.77090038903318,2005_48.0,117,2005
2005-05-08,16.871620312397457,2005_48.0,117,2005
2005-05-09,12.273313326912254,2005_48.0,117,2005
2005-05-10,13.289365062501448,2005_48.0,117,2005
2005-05-11,9.817294230951616,2005_48.0,117,2005
2005-05-12,0.0,2005_nan,117,2005
2005-05-13,0.0,2005_nan,117,2005
2005-05-14,16.7765757377935,2005_55.0,117,2005
2005-05-15,10.448962155974373,2005_54.0,117,2005
2005-05-16,9.056096531689846,2005_55.0,117,2005
2005-05-17,0.0,2005_nan,117,2005
2005-05-18,0.0,2005_nan,117,2005
2005-05-19,14.074113629806678,2005_56.0,117,2005
2005-05-20,0.0,2005_nan,117,2005
2005-05-21,0.0,2005_nan,117,2005
2005-05-22,0.0,2005_nan,117,2005
2005-05-23,17.94402591080493,2005_57.0,117,2005
2005-05-24,18.512611153568415,2005_57.0,117,2005
2005-05-25,15.306328689937612,2005_57.0,117,2005
2005-05-26,13.22964678996268,2005_59.0,117,2005
2005-05-27,10.940165975166495,2005_60.0,117,2005
2005-05-28,22.097389710754797,2005_60.0,117,2005
2005-05-29,14.080001346817545,2005_60.0,117,2005
2005-05-30,10.255508597045964,2005_60.0,117,2005
2005-05-31,8.641433033638958,2005_60.0,117,2005
2005-06-01,14.691482813517332,2005_62.0,117,2005
2005-06-02,13.059744099077731,2005_62.0,117,2005
2005-06-03,12.41209522788263,2005_61.0,117,2005
2005-06-04,16.856480468655235,2005_61.0,117,2005
2005-06-05,0.0,2005_nan,117,2005
2005-06-06,11.70893359629938,2005_64.0,117,2005
2005-06-07,9.704586505315069,2005_64.0,117,2005
2005-06-08,0.0,2005_nan,117,2005
2005-06-09,0.0,2005_nan,117,2005
2005-06-10,0.0,2005_nan,117,2005
2005-06-11,9.04516220009824,2005_65.0,117,2005
2005-06-12,15.795850304269496,2005_66.0,117,2005
2005-06-13,17.30478806391106,2005_66.0,117,2005
2005-06-14,14.035422918020997,2005_68.0,117,2005
2005-06-15,15.279413412173662,2005_68.0,117,2005
2005-06-16,16.20294388044927,2005_67.0,117,2005
2005-06-17,13.708234072702954,2005_67.0,117,2005
2005-06-18,0.0,2005_nan,117,2005
2005-06-19,0.0,2005_nan,117,2005
2005-06-20,0.0,2005_nan,117,2005
2005-06-21,12.195090800910767,2005_70.0,117,2005
2005-06-22,0.0,2005_nan,117,2005
2005-06-23,8.11237960509127,2005_69.0,117,2005
