date,wind,cyclone_id,cyclone_number,year
2005-03-24,16.573028949703613,2005_38.0,122,2005
2005-03-25,9.373192147846408,2005_38.0,122,2005
2005-03-26,0.0,2005_nan,122,2005
2005-03-27,0.0,2005_nan,122,2005
2005-03-28,7.500057035961358,2005_39.0,122,2005
2005-03-29,12.349012545623369,2005_39.0,122,2005
2005-03-30,10.524661374685486,2005_39.0,122,2005
2005-03-31,8.052661332552503,2005_39.0,122,2005
2005-04-01,9.13179575040096,2005_41.0,122,2005
2005-04-02,0.0,2005_nan,122,2005
2005-04-03,0.0,2005_nan,122,2005
2005-04-04,13.43655798777306,2005_42.0,122,2005
2005-04-05,13.814212978898516,2005_40.0,122,2005
2005-04-06,24.682938580954453,2005_43.0,122,2005
2005-04-07,23.2782975226482,2005_43.0,122,2005
2005-04-08,21.242829641749317,2005_43.0,122,2005
2005-04-09,11.359034985368002,2005_43.0,122,2005
2005-04-10,0.0,2005_nan,122,2005
2005-04-11,0.0,2005_nan,122,2005
2005-04-12,0.0,2005_nan,122,2005
2005-04-13,11.269037025344788,2005_47.0,122,2005
2005-04-14,11.227823006268736,2005_47.0,122,2005
2005-04-15,19.058486630718573,2005_47.0,122,2005
2005-04-16,16.49985303828287,2005_47.0,122,2005
2005-04-17,19.13082143970919,2005_46.0,122,2005
2005-04-18,15.32230963610996,2005_44.0,122,2005
2005-04-19,14.404666884845216,2005_44.0,122,2005
2005-04-20,8.307515368879926,2005_44.0,122,2005
2005-04-21,8.518632078840923,2005_52.0,122,2005
2005-04-22,18.02813615381728,2005_49.0,122,2005
2005-04-23,14.445880903921267,2005_49.0,122,2005
2005-04-24,11.865378648302352,2005_49.0,122,2005
2005-04-25,8.245273789050785,2005_49.0,122,2005
2005-04-26,13.763746833091105,2005_50.0,122,2005
2005-04-27,13.545060201258991,2005_53.0,122,2005
2005-04-28,20.8702212652046,2005_53.0,122,2005
2005-04-29,11.93434904757248,2005_53.0,122,2005
2005-04-30,0.0,2005_nan,122,2005
2005-05-01,0.0,2005_nan,122,2005
2005-05-02,18.177852386379264,2005_54.0,122,2005
2005-05-03,13.781409984123698,2005_54.0,122,2005
2005-05-04,16.397238541807802,2005_54.0,122,2005
2005-05-05,0.0,2005_nan,122,2005
2005-05-06,0.0,2005_nan,122,2005
2005-05-07,0.0,2005_nan,122,2005
2005-05-08,14.504758074029914,2005_51.0,122,2005
2005-05-09,12.901616842214512,2005_51.0,122,2005
2005-05-10,11.130255124374408,2005_51.0,122,2005
2005-05-11,0.0,2005_nan,122,2005
2005-05-12,0.0,2005_nan,122,2005
2005-05-13,0.0,2005_nan,122,2005
2005-05-14,17.02301874981969,2005_56.0,122,2005
2005-05-15,10.674377607247468,2005_56.0,122,2005
2005-05-16,5.081046446926159,2005_56.0,122,2005
2005-05-17,0.0,2005_nan,122,2005
2005-05-18,0.0,2005_nan,122,2005
2005-05-19,15.001849610232904,2005_59.0,122,2005
2005-05-20,0.0,2005_nan,122,2005
2005-05-21,0.0,2005_nan,122,2005
2005-05-22,0.0,2005_nan,122,2005
2005-05-23,18.835594486735843,2005_60.0,122,2005
2005-05-24,19.53370950373835,2005_60.0,122,2005
2005-05-25,16.13060907145865,2005_60.0,122,2005
2005-05-26,12.120232684629777,2005_62.0,122,2005
2005-05-27,12.32293837028954,2005_63.0,122,2005
2005-05-28,22.316917445017033,2005_63.0,122,2005
2005-05-29,12.728349741609067,2005_63.0,122,2005
2005-05-30,11.574357207479618,2005_63.0,122,2005
2005-05-31,7.68509957058853,2005_63.0,122,2005
2005-06-01,13.610666190808628,2005_65.0,122,2005
2005-06-02,14.481207205986456,2005_65.0,122,2005
2005-06-03,14.557747527127692,2005_64.0,122,2005
2005-06-04,16.85311605893474,2005_64.0,122,2005
2005-06-05,0.0,2005_nan,122,2005
2005-06-06,0.0,2005_nan,122,2005
2005-06-07,0.0,2005_nan,122,2005
2005-06-08,0.0,2005_nan,122,2005
2005-06-09,0.0,2005_nan,122,2005
2005-06-10,0.0,2005_nan,122,2005
2005-06-11,0.0,2005_nan,122,2005
2005-06-12,13.30702821353404,2005_68.0,122,2005
2005-06-13,13.425623656181456,2005_68.0,122,2005
2005-06-14,15.462773741940586,2005_68.0,122,2005
2005-06-15,17.170211675091302,2005_70.0,122,2005
2005-06-16,16.074255208640373,2005_69.0,122,2005
2005-06-17,13.889071095179506,2005_69.0,122,2005
2005-06-18,0.0,2005_nan,122,2005
2005-06-19,0.0,2005_nan,122,2005
2005-06-20,0.0,2005_nan,122,2005
2005-06-21,11.614730124125549,2005_72.0,122,2005
2005-06-22,8.916473528289341,2005_71.0,122,2005
2005-06-23,6.563910031233899,2005_71.0,122,2005
2005-06-24,10.712227216603026,2005_71.0,122,2005
2005-06-25,13.925238499674816,2005_74.0,122,2005
2005-06-26,0.0,2005_nan,122,2005
2005-06-27,10.588585159374873,2005_74.0,122,2005
2005-06-28,15.833699913625052,2005_74.0,122,2005
2005-06-29,12.03275803189693,2005_74.0,122,2005
2005-06-30,15.58809800402899,2005_74.0,122,2005
2005-07-01,12.174904342587803,2005_74.0,122,2005
